50
119 89 119 259 
6 159 6 216 
148 248 148 282 
74 399 74 498 
136 584 136 767 
170 707 170 802 
139 732 139 754 
180 824 180 873 
167 1022 167 1041 
65 1027 65 1219 
77 1226 77 1378 
184 1426 184 1543 
52 1553 52 1637 
37 1714 37 1803 
141 1818 141 1984 
190 1988 190 2065 
25 2037 25 2066 
16 2120 16 2133 
163 2266 163 2393 
178 2284 178 2376 
169 2286 169 2484 
32 2423 32 2519 
147 2511 147 2676 
101 2616 101 2687 
153 2810 153 2915 
177 2945 177 3100 
117 2949 117 3149 
45 2982 45 3033 
132 3123 132 3295 
129 3320 129 3409 
78 3375 78 3418 
95 3429 95 3475 
62 3534 62 3606 
171 3605 171 3707 
186 3665 186 3749 
43 3857 43 4045 
168 4042 168 4130 
82 4237 82 4259 
116 4318 116 4496 
173 4441 173 4452 
179 4600 179 4690 
110 4764 110 4896 
130 4839 130 5037 
38 4947 38 5035 
79 5059 79 5249 
194 5157 194 5222 
105 5335 105 5532 
3 5496 3 5588 
182 5636 182 5687 
142 5770 142 5943
